locid;code;name;surface_m2;total_surface
3313;14;Core zone development (Kernzone Entwicklung);67920;1120698
3313;15;Zone for public buildings ;108192;1120698
3313;16;eingeschränkte Bauzonen;123;1120698
3313;17;Tourism and leisure zone (Tourismus und FreizeitZone);44676;1120698
3314;11;Zone for residential use (Wohnzone);174567;222540
3314;13;Zone for commercial and residential use (Gewerbezone mit Wohnen);12126;222540
3314;14;Core zone development (Kernzone Entwicklung);26910;222540
3314;15;Zone for public buildings ;6343;222540
3314;16;eingeschränkte Bauzonen;2594;222540
3315;11;Zone for residential use (Wohnzone);496499;991874
3315;12;Zone for commercial and industrial use (Gewerbe und Industrie);144534;991874
3315;13;Zone for commercial and residential use (Gewerbezone mit Wohnen);132705;991874
3315;14;Core zone development (Kernzone Entwicklung);96281;991874
3315;15;Zone for public buildings ;79021;991874
3315;16;eingeschränkte Bauzonen;9434;991874
3315;17;Tourism and leisure zone (Tourismus und FreizeitZone);33400;991874
3316;11;Zone for residential use (Wohnzone);299339;582079
3316;12;Zone for commercial and industrial use (Gewerbe und Industrie);37281;582079
3316;13;Zone for commercial and residential use (Gewerbezone mit Wohnen);46782;582079
3316;14;Core zone development (Kernzone Entwicklung);54677;582079
3316;15;Zone for public buildings ;64956;582079
3316;16;eingeschränkte Bauzonen;52776;582079
3316;17;Tourism and leisure zone (Tourismus und FreizeitZone);26268;582079
3331;11;Zone for residential use (Wohnzone);251692;436286
3331;12;Zone for commercial and industrial use (Gewerbe und Industrie);6256;436286
3331;13;Zone for commercial and residential use (Gewerbezone mit Wohnen);96506;436286
3331;14;Core zone development (Kernzone Entwicklung);23773;436286
3331;15;Zone for public buildings ;19732;436286
3331;16;eingeschränkte Bauzonen;12714;436286
3331;17;Tourism and leisure zone (Tourismus und FreizeitZone);25613;436286
3332;11;Zone for residential use (Wohnzone);689099;1648569
3332;12;Zone for commercial and industrial use (Gewerbe und Industrie);318486;1648569
3332;13;Zone for commercial and residential use (Gewerbezone mit Wohnen);333073;1648569
3332;14;Core zone development (Kernzone Entwicklung);108949;1648569
3332;15;Zone for public buildings ;175287;1648569
3332;16;eingeschränkte Bauzonen;23675;1648569
3333;11;Zone for residential use (Wohnzone);119116;308983
3333;12;Zone for commercial and industrial use (Gewerbe und Industrie);27171;308983
3333;13;Zone for commercial and residential use (Gewerbezone mit Wohnen);59437;308983
3333;14;Core zone development (Kernzone Entwicklung);43765;308983
3333;15;Zone for public buildings ;55509;308983
3333;16;eingeschränkte Bauzonen;3985;308983
3334;11;Zone for residential use (Wohnzone);508543;746734
3334;12;Zone for commercial and industrial use (Gewerbe und Industrie);66296;746734
3334;13;Zone for commercial and residential use (Gewerbezone mit Wohnen);67443;746734
3334;14;Core zone development (Kernzone Entwicklung);38591;746734
3334;15;Zone for public buildings ;51372;746734
3334;16;eingeschränkte Bauzonen;654;746734
3334;17;Tourism and leisure zone (Tourismus und FreizeitZone);13835;746734
3335;11;Zone for residential use (Wohnzone);2407429;4752802
3335;12;Zone for commercial and industrial use (Gewerbe und Industrie);687808;4752802
3335;13;Zone for commercial and residential use (Gewerbezone mit Wohnen);211305;4752802
3335;14;Core zone development (Kernzone Entwicklung);236027;4752802
3335;15;Zone for public buildings ;468906;4752802
3335;16;eingeschränkte Bauzonen;80409;4752802
3335;17;Tourism and leisure zone (Tourismus und FreizeitZone);660918;4752802
3336;11;Zone for residential use (Wohnzone);531446;1305414
3336;12;Zone for commercial and industrial use (Gewerbe und Industrie);74202;1305414
3336;13;Zone for commercial and residential use (Gewerbezone mit Wohnen);178197;1305414
3336;14;Core zone development (Kernzone Entwicklung);158458;1305414
3336;15;Zone for public buildings ;255383;1305414
3336;16;eingeschränkte Bauzonen;2464;1305414
3336;17;Tourism and leisure zone (Tourismus und FreizeitZone);105264;1305414
3337;11;Zone for residential use (Wohnzone);217864;571410
3337;12;Zone for commercial and industrial use (Gewerbe und Industrie);35793;571410
3337;13;Zone for commercial and residential use (Gewerbezone mit Wohnen);142430;571410
3337;14;Core zone development (Kernzone Entwicklung);50123;571410
3337;15;Zone for public buildings ;83621;571410
3337;16;eingeschränkte Bauzonen;5290;571410
3337;17;Tourism and leisure zone (Tourismus und FreizeitZone);36289;571410
3338;11;Zone for residential use (Wohnzone);391045;1070825
3338;12;Zone for commercial and industrial use (Gewerbe und Industrie);236133;1070825
3338;13;Zone for commercial and residential use (Gewerbezone mit Wohnen);164520;1070825
3338;14;Core zone development (Kernzone Entwicklung);43083;1070825
3338;15;Zone for public buildings ;117451;1070825
3338;16;eingeschränkte Bauzonen;13239;1070825
3338;17;Tourism and leisure zone (Tourismus und FreizeitZone);105354;1070825
3339;11;Zone for residential use (Wohnzone);724814;1726492
3339;12;Zone for commercial and industrial use (Gewerbe und Industrie);326641;1726492
3339;13;Zone for commercial and residential use (Gewerbezone mit Wohnen);338740;1726492
3339;14;Core zone development (Kernzone Entwicklung);78041;1726492
3339;15;Zone for public buildings ;203454;1726492
3339;16;eingeschränkte Bauzonen;38248;1726492
3339;17;Tourism and leisure zone (Tourismus und FreizeitZone);16554;1726492
3351;11;Zone for residential use (Wohnzone);348524;729768
3351;12;Zone for commercial and industrial use (Gewerbe und Industrie);56362;729768
3351;13;Zone for commercial and residential use (Gewerbezone mit Wohnen);110683;729768
3351;14;Core zone development (Kernzone Entwicklung);60143;729768
3351;15;Zone for public buildings ;84107;729768
3351;16;eingeschränkte Bauzonen;17222;729768
3351;17;Tourism and leisure zone (Tourismus und FreizeitZone);52727;729768
3352;11;Zone for residential use (Wohnzone);581495;1300352
3352;12;Zone for commercial and industrial use (Gewerbe und Industrie);197145;1300352
3352;13;Zone for commercial and residential use (Gewerbezone mit Wohnen);157784;1300352
3352;14;Core zone development (Kernzone Entwicklung);223815;1300352
3352;15;Zone for public buildings ;87684;1300352
3352;16;eingeschränkte Bauzonen;27828;1300352
3352;17;Tourism and leisure zone (Tourismus und FreizeitZone);24601;1300352
3354;11;Zone for residential use (Wohnzone);290014;744098
3354;12;Zone for commercial and industrial use (Gewerbe und Industrie);86794;744098
3354;13;Zone for commercial and residential use (Gewerbezone mit Wohnen);148800;744098
3354;14;Core zone development (Kernzone Entwicklung);112979;744098
3354;15;Zone for public buildings ;46456;744098
3354;16;eingeschränkte Bauzonen;33427;744098
3354;17;Tourism and leisure zone (Tourismus und FreizeitZone);25628;744098
3355;11;Zone for residential use (Wohnzone);230522;602385
3355;12;Zone for commercial and industrial use (Gewerbe und Industrie);72372;602385
3355;13;Zone for commercial and residential use (Gewerbezone mit Wohnen);98821;602385
3355;14;Core zone development (Kernzone Entwicklung);89572;602385
3355;15;Zone for public buildings ;100592;602385
3355;16;eingeschränkte Bauzonen;2573;602385
3355;17;Tourism and leisure zone (Tourismus und FreizeitZone);7933;602385
3356;11;Zone for residential use (Wohnzone);31029;121591
3356;13;Zone for commercial and residential use (Gewerbezone mit Wohnen);29662;121591
3356;14;Core zone development (Kernzone Entwicklung);24308;121591
3356;15;Zone for public buildings ;22098;121591
3356;16;eingeschränkte Bauzonen;6507;121591
3356;17;Tourism and leisure zone (Tourismus und FreizeitZone);7987;121591
3357;11;Zone for residential use (Wohnzone);500827;877122
3357;12;Zone for commercial and industrial use (Gewerbe und Industrie);8015;877122
3357;13;Zone for commercial and residential use (Gewerbezone mit Wohnen);101860;877122
3357;14;Core zone development (Kernzone Entwicklung);63099;877122
3357;15;Zone for public buildings ;91499;877122
3357;16;eingeschränkte Bauzonen;27047;877122
3357;17;Tourism and leisure zone (Tourismus und FreizeitZone);84775;877122
3371;11;Zone for residential use (Wohnzone);92486;235844
3371;12;Zone for commercial and industrial use (Gewerbe und Industrie);20467;235844
3371;13;Zone for commercial and residential use (Gewerbezone mit Wohnen);54483;235844
3371;14;Core zone development (Kernzone Entwicklung);31750;235844
3371;15;Zone for public buildings ;30262;235844
3371;16;eingeschränkte Bauzonen;6396;235844
3372;11;Zone for residential use (Wohnzone);113076;251190
3372;12;Zone for commercial and industrial use (Gewerbe und Industrie);19844;251190
3372;13;Zone for commercial and residential use (Gewerbezone mit Wohnen);26018;251190
3372;14;Core zone development (Kernzone Entwicklung);39024;251190
3372;15;Zone for public buildings ;21021;251190
3372;16;eingeschränkte Bauzonen;10903;251190
3372;17;Tourism and leisure zone (Tourismus und FreizeitZone);21304;251190
3373;11;Zone for residential use (Wohnzone);34701;68264
3373;13;Zone for commercial and residential use (Gewerbezone mit Wohnen);13781;68264
3373;14;Core zone development (Kernzone Entwicklung);8100;68264
3373;15;Zone for public buildings ;9434;68264
3373;16;eingeschränkte Bauzonen;2248;68264
3374;11;Zone for residential use (Wohnzone);235974;538141
3374;12;Zone for commercial and industrial use (Gewerbe und Industrie);45456;538141
3374;13;Zone for commercial and residential use (Gewerbezone mit Wohnen);120265;538141
3374;14;Core zone development (Kernzone Entwicklung);47827;538141
3374;15;Zone for public buildings ;66722;538141
3374;16;eingeschränkte Bauzonen;6796;538141
3374;17;Tourism and leisure zone (Tourismus und FreizeitZone);15101;538141
3375;11;Zone for residential use (Wohnzone);181312;402259
3375;12;Zone for commercial and industrial use (Gewerbe und Industrie);7042;402259
3375;13;Zone for commercial and residential use (Gewerbezone mit Wohnen);65412;402259
3375;14;Core zone development (Kernzone Entwicklung);92648;402259
3375;15;Zone for public buildings ;23444;402259
3375;16;eingeschränkte Bauzonen;32401;402259
3376;11;Zone for residential use (Wohnzone);118664;400896
3376;12;Zone for commercial and industrial use (Gewerbe und Industrie);54472;400896
3376;13;Zone for commercial and residential use (Gewerbezone mit Wohnen);88547;400896
3376;14;Core zone development (Kernzone Entwicklung);66513;400896
3376;15;Zone for public buildings ;45114;400896
3376;16;eingeschränkte Bauzonen;11192;400896
3376;17;Tourism and leisure zone (Tourismus und FreizeitZone);16394;400896
3377;11;Zone for residential use (Wohnzone);910496;2307148
3377;12;Zone for commercial and industrial use (Gewerbe und Industrie);426417;2307148
3377;13;Zone for commercial and residential use (Gewerbezone mit Wohnen);355932;2307148
3377;14;Core zone development (Kernzone Entwicklung);188538;2307148
3377;15;Zone for public buildings ;335475;2307148
3377;16;eingeschränkte Bauzonen;58870;2307148
3377;17;Tourism and leisure zone (Tourismus und FreizeitZone);31420;2307148
3391;11;Zone for residential use (Wohnzone);303468;1130865
3391;12;Zone for commercial and industrial use (Gewerbe und Industrie);249860;1130865
3391;13;Zone for commercial and residential use (Gewerbezone mit Wohnen);202860;1130865
3391;14;Core zone development (Kernzone Entwicklung);191733;1130865
3391;15;Zone for public buildings ;131860;1130865
3391;16;eingeschränkte Bauzonen;51084;1130865
3392;11;Zone for residential use (Wohnzone);799956;2586610
3392;12;Zone for commercial and industrial use (Gewerbe und Industrie);463631;2586610
3392;13;Zone for commercial and residential use (Gewerbezone mit Wohnen);792198;2586610
3392;14;Core zone development (Kernzone Entwicklung);87153;2586610
3392;15;Zone for public buildings ;285516;2586610
3392;16;eingeschränkte Bauzonen;77300;2586610
3392;17;Tourism and leisure zone (Tourismus und FreizeitZone);80856;2586610
3393;11;Zone for residential use (Wohnzone);114804;406603
3393;12;Zone for commercial and industrial use (Gewerbe und Industrie);32609;406603
3393;13;Zone for commercial and residential use (Gewerbezone mit Wohnen);67924;406603
3393;14;Core zone development (Kernzone Entwicklung);115450;406603
3393;15;Zone for public buildings ;71582;406603
3393;16;eingeschränkte Bauzonen;1811;406603
3393;17;Tourism and leisure zone (Tourismus und FreizeitZone);2423;406603
3394;11;Zone for residential use (Wohnzone);231977;665388
3394;12;Zone for commercial and industrial use (Gewerbe und Industrie);36618;665388
3394;13;Zone for commercial and residential use (Gewerbezone mit Wohnen);143313;665388
3394;14;Core zone development (Kernzone Entwicklung);129637;665388
3394;15;Zone for public buildings ;101528;665388
3394;16;eingeschränkte Bauzonen;21127;665388
3394;17;Tourism and leisure zone (Tourismus und FreizeitZone);1188;665388
3401;11;Zone for residential use (Wohnzone);490777;999291
3401;12;Zone for commercial and industrial use (Gewerbe und Industrie);140796;999291
3401;13;Zone for commercial and residential use (Gewerbezone mit Wohnen);238857;999291
3401;14;Core zone development (Kernzone Entwicklung);27575;999291
3401;15;Zone for public buildings ;97302;999291
3401;16;eingeschränkte Bauzonen;2471;999291
3401;17;Tourism and leisure zone (Tourismus und FreizeitZone);1513;999291
3402;11;Zone for residential use (Wohnzone);906388;2230408
3402;12;Zone for commercial and industrial use (Gewerbe und Industrie);428964;2230408
3402;13;Zone for commercial and residential use (Gewerbezone mit Wohnen);506176;2230408
3402;14;Core zone development (Kernzone Entwicklung);59471;2230408
3402;15;Zone for public buildings ;307279;2230408
3402;16;eingeschränkte Bauzonen;22117;2230408
3402;17;Tourism and leisure zone (Tourismus und FreizeitZone);13;2230408
3403;11;Zone for residential use (Wohnzone);149697;285072
3403;12;Zone for commercial and industrial use (Gewerbe und Industrie);9633;285072
3403;13;Zone for commercial and residential use (Gewerbezone mit Wohnen);42269;285072
3403;14;Core zone development (Kernzone Entwicklung);31674;285072
3403;15;Zone for public buildings ;45496;285072
3403;16;eingeschränkte Bauzonen;1194;285072
3403;17;Tourism and leisure zone (Tourismus und FreizeitZone);5109;285072
3405;11;Zone for residential use (Wohnzone);389735;1182624
3405;12;Zone for commercial and industrial use (Gewerbe und Industrie);414226;1182624
3405;13;Zone for commercial and residential use (Gewerbezone mit Wohnen);197012;1182624
3405;14;Core zone development (Kernzone Entwicklung);86477;1182624
3405;15;Zone for public buildings ;72766;1182624
3405;16;eingeschränkte Bauzonen;11442;1182624
3405;17;Tourism and leisure zone (Tourismus und FreizeitZone);10966;1182624
3406;11;Zone for residential use (Wohnzone);287218;809457
3406;12;Zone for commercial and industrial use (Gewerbe und Industrie);43458;809457
3406;13;Zone for commercial and residential use (Gewerbezone mit Wohnen);117284;809457
3406;14;Core zone development (Kernzone Entwicklung);110260;809457
3406;15;Zone for public buildings ;106114;809457
3406;16;eingeschränkte Bauzonen;11867;809457
3406;17;Tourism and leisure zone (Tourismus und FreizeitZone);133256;809457
3407;11;Zone for residential use (Wohnzone);650754;1609501
3407;12;Zone for commercial and industrial use (Gewerbe und Industrie);116776;1609501
3407;13;Zone for commercial and residential use (Gewerbezone mit Wohnen);227496;1609501
3407;14;Core zone development (Kernzone Entwicklung);244615;1609501
3407;15;Zone for public buildings ;162529;1609501
3407;16;eingeschränkte Bauzonen;7896;1609501
3407;17;Tourism and leisure zone (Tourismus und FreizeitZone);199435;1609501
3408;11;Zone for residential use (Wohnzone);1488304;3580987
3408;12;Zone for commercial and industrial use (Gewerbe und Industrie);695190;3580987
3408;13;Zone for commercial and residential use (Gewerbezone mit Wohnen);535833;3580987
3408;14;Core zone development (Kernzone Entwicklung);398863;3580987
3408;15;Zone for public buildings ;399859;3580987
3408;16;eingeschränkte Bauzonen;27539;3580987
3408;17;Tourism and leisure zone (Tourismus und FreizeitZone);35399;3580987
3421;11;Zone for residential use (Wohnzone);507804;1343279
3421;12;Zone for commercial and industrial use (Gewerbe und Industrie);204304;1343279
3421;13;Zone for commercial and residential use (Gewerbezone mit Wohnen);238428;1343279
3421;14;Core zone development (Kernzone Entwicklung);86225;1343279
3421;15;Zone for public buildings ;279326;1343279
3421;16;eingeschränkte Bauzonen;27192;1343279
3422;11;Zone for residential use (Wohnzone);115799;427296
3422;12;Zone for commercial and industrial use (Gewerbe und Industrie);54114;427296
3422;13;Zone for commercial and residential use (Gewerbezone mit Wohnen);155550;427296
3422;14;Core zone development (Kernzone Entwicklung);32759;427296
3422;15;Zone for public buildings ;25472;427296
3422;16;eingeschränkte Bauzonen;43602;427296
3423;11;Zone for residential use (Wohnzone);312449;818224
3423;12;Zone for commercial and industrial use (Gewerbe und Industrie);68450;818224
3423;13;Zone for commercial and residential use (Gewerbezone mit Wohnen);215300;818224
3423;14;Core zone development (Kernzone Entwicklung);95333;818224
3423;15;Zone for public buildings ;102419;818224
3423;16;eingeschränkte Bauzonen;14896;818224
3423;17;Tourism and leisure zone (Tourismus und FreizeitZone);9377;818224
3424;11;Zone for residential use (Wohnzone);478313;1333084
3424;12;Zone for commercial and industrial use (Gewerbe und Industrie);280359;1333084
3424;13;Zone for commercial and residential use (Gewerbezone mit Wohnen);224186;1333084
3424;14;Core zone development (Kernzone Entwicklung);148630;1333084
3424;15;Zone for public buildings ;179768;1333084
3424;16;eingeschränkte Bauzonen;9723;1333084
3424;17;Tourism and leisure zone (Tourismus und FreizeitZone);12105;1333084
3425;11;Zone for residential use (Wohnzone);1977590;4132372
3425;12;Zone for commercial and industrial use (Gewerbe und Industrie);522689;4132372
3425;13;Zone for commercial and residential use (Gewerbezone mit Wohnen);270781;4132372
3425;14;Core zone development (Kernzone Entwicklung);191439;4132372
3425;15;Zone for public buildings ;766651;4132372
3425;16;eingeschränkte Bauzonen;370349;4132372
3425;17;Tourism and leisure zone (Tourismus und FreizeitZone);32873;4132372
3426;11;Zone for residential use (Wohnzone);696304;1428388
3426;12;Zone for commercial and industrial use (Gewerbe und Industrie);287794;1428388
3426;13;Zone for commercial and residential use (Gewerbezone mit Wohnen);84906;1428388
3426;14;Core zone development (Kernzone Entwicklung);184070;1428388
3426;15;Zone for public buildings ;76801;1428388
3426;16;eingeschränkte Bauzonen;80830;1428388
3426;17;Tourism and leisure zone (Tourismus und FreizeitZone);17683;1428388
3441;11;Zone for residential use (Wohnzone);239883;458774
3441;12;Zone for commercial and industrial use (Gewerbe und Industrie);49717;458774
3441;13;Zone for commercial and residential use (Gewerbezone mit Wohnen);63704;458774
3441;14;Core zone development (Kernzone Entwicklung);72514;458774
3441;15;Zone for public buildings ;32394;458774
3441;16;eingeschränkte Bauzonen;562;458774
3442;11;Zone for residential use (Wohnzone);1193072;2063925
3442;12;Zone for commercial and industrial use (Gewerbe und Industrie);149760;2063925
3442;13;Zone for commercial and residential use (Gewerbezone mit Wohnen);186073;2063925
3442;14;Core zone development (Kernzone Entwicklung);87632;2063925
3442;15;Zone for public buildings ;367914;2063925
3442;16;eingeschränkte Bauzonen;20352;2063925
3442;17;Tourism and leisure zone (Tourismus und FreizeitZone);59122;2063925
3443;11;Zone for residential use (Wohnzone);1514583;5034347
3443;12;Zone for commercial and industrial use (Gewerbe und Industrie);1211750;5034347
3443;13;Zone for commercial and residential use (Gewerbezone mit Wohnen);693688;5034347
3443;14;Core zone development (Kernzone Entwicklung);238280;5034347
3443;15;Zone for public buildings ;1103320;5034347
3443;16;eingeschränkte Bauzonen;62277;5034347
3443;17;Tourism and leisure zone (Tourismus und FreizeitZone);210449;5034347
3444;11;Zone for residential use (Wohnzone);284246;1041392
3444;12;Zone for commercial and industrial use (Gewerbe und Industrie);182406;1041392
3444;13;Zone for commercial and residential use (Gewerbezone mit Wohnen);199000;1041392
3444;14;Core zone development (Kernzone Entwicklung);46248;1041392
3444;15;Zone for public buildings ;288816;1041392
3444;16;eingeschränkte Bauzonen;21430;1041392
3444;17;Tourism and leisure zone (Tourismus und FreizeitZone);19246;1041392
320301;11;Zone for residential use (Wohnzone);1692555;5157674
320301;12;Zone for commercial and industrial use (Gewerbe und Industrie);1342985;5157674
320301;13;Zone for commercial and residential use (Gewerbezone mit Wohnen);747702;5157674
320301;14;Core zone development (Kernzone Entwicklung);63508;5157674
320301;15;Zone for public buildings ;1002776;5157674
320301;16;eingeschränkte Bauzonen;304767;5157674
320301;17;Tourism and leisure zone (Tourismus und FreizeitZone);3381;5157674
320302;11;Zone for residential use (Wohnzone);1856204;3758020
320302;12;Zone for commercial and industrial use (Gewerbe und Industrie);18752;3758020
320302;13;Zone for commercial and residential use (Gewerbezone mit Wohnen);534222;3758020
320302;14;Core zone development (Kernzone Entwicklung);262736;3758020
320302;15;Zone for public buildings ;748907;3758020
320302;16;eingeschränkte Bauzonen;322448;3758020
320302;17;Tourism and leisure zone (Tourismus und FreizeitZone);14751;3758020
320303;11;Zone for residential use (Wohnzone);2446554;4813159
320303;12;Zone for commercial and industrial use (Gewerbe und Industrie);606433;4813159
320303;13;Zone for commercial and residential use (Gewerbezone mit Wohnen);592137;4813159
320303;14;Core zone development (Kernzone Entwicklung);68931;4813159
320303;15;Zone for public buildings ;915652;4813159
320303;16;eingeschränkte Bauzonen;175515;4813159
320303;17;Tourism and leisure zone (Tourismus und FreizeitZone);7937;4813159
