locid;code;name;surface_m2;total_surface
3032;17;Tourism and leisure zone (Tourismus und FreizeitZone);77238;1164486
3033;11;Zone for residential use (Wohnzone);168338;501864
3033;12;Zone for commercial and industrial use (Gewerbe und Industrie);2748;501864
3033;13;Zone for commercial and residential use (Gewerbezone mit Wohnen);137285;501864
3033;14;Core zone development (Kernzone Entwicklung);35224;501864
3033;15;Zone for public buildings ;25958;501864
3033;16;eingeschränkte Bauzonen;102707;501864
3033;17;Tourism and leisure zone (Tourismus und FreizeitZone);29604;501864
3034;11;Zone for residential use (Wohnzone);149781;416245
3034;12;Zone for commercial and industrial use (Gewerbe und Industrie);18040;416245
3034;13;Zone for commercial and residential use (Gewerbezone mit Wohnen);133043;416245
3034;14;Core zone development (Kernzone Entwicklung);26972;416245
3034;15;Zone for public buildings ;36080;416245
3034;16;eingeschränkte Bauzonen;47810;416245
3034;17;Tourism and leisure zone (Tourismus und FreizeitZone);4519;416245
3035;11;Zone for residential use (Wohnzone);60203;193682
3035;12;Zone for commercial and industrial use (Gewerbe und Industrie);4131;193682
3035;13;Zone for commercial and residential use (Gewerbezone mit Wohnen);108435;193682
3035;15;Zone for public buildings ;19745;193682
3035;16;eingeschränkte Bauzonen;1168;193682
3036;11;Zone for residential use (Wohnzone);77136;221387
3036;12;Zone for commercial and industrial use (Gewerbe und Industrie);14356;221387
3036;13;Zone for commercial and residential use (Gewerbezone mit Wohnen);65714;221387
3036;14;Core zone development (Kernzone Entwicklung);18628;221387
3036;15;Zone for public buildings ;22715;221387
3036;16;eingeschränkte Bauzonen;22838;221387
3037;11;Zone for residential use (Wohnzone);287224;697289
3037;12;Zone for commercial and industrial use (Gewerbe und Industrie);63248;697289
3037;13;Zone for commercial and residential use (Gewerbezone mit Wohnen);120401;697289
3037;14;Core zone development (Kernzone Entwicklung);47485;697289
3037;15;Zone for public buildings ;73553;697289
3037;16;eingeschränkte Bauzonen;69155;697289
3037;17;Tourism and leisure zone (Tourismus und FreizeitZone);36223;697289
3038;11;Zone for residential use (Wohnzone);175010;481751
3038;12;Zone for commercial and industrial use (Gewerbe und Industrie);79244;481751
3038;13;Zone for commercial and residential use (Gewerbezone mit Wohnen);119767;481751
3038;14;Core zone development (Kernzone Entwicklung);45869;481751
3038;15;Zone for public buildings ;24422;481751
3038;16;eingeschränkte Bauzonen;37439;481751
3101;11;Zone for residential use (Wohnzone);677062;1585627
3101;12;Zone for commercial and industrial use (Gewerbe und Industrie);181030;1585627
